bpm,source,timestamp
55,awake,2024-04-21T12:44:48+00:00
49,awake,2024-04-21T12:45:42+00:00
51,awake,2024-04-21T12:46:03+00:00
129,awake,2024-04-21T13:05:29+00:00
112,awake,2024-04-21T13:05:39+00:00
105,awake,2024-04-21T13:05:40+00:00
68,awake,2024-04-21T13:24:59+00:00
66,awake,2024-04-21T13:26:03+00:00
64,awake,2024-04-21T13:26:12+00:00
61,awake,2024-04-21T14:25:34+00:00
63,awake,2024-04-21T14:25:42+00:00
66,awake,2024-04-21T14:26:20+00:00
57,awake,2024-04-21T14:30:21+00:00
61,awake,2024-04-21T14:30:52+00:00
66,awake,2024-04-21T14:31:38+00:00
64,awake,2024-04-21T14:36:55+00:00
58,awake,2024-04-21T14:37:01+00:00
62,awake,2024-04-21T14:37:08+00:00
56,awake,2024-04-21T14:42:40+00:00
62,awake,2024-04-21T14:42:42+00:00
60,awake,2024-04-21T14:43:13+00:00
55,awake,2024-04-21T14:55:27+00:00
53,awake,2024-04-21T14:55:34+00:00
57,awake,2024-04-21T14:55:41+00:00
54,awake,2024-04-21T15:05:18+00:00
60,awake,2024-04-21T15:05:19+00:00
57,awake,2024-04-21T15:05:20+00:00
61,awake,2024-04-21T15:18:24+00:00
64,awake,2024-04-21T15:18:28+00:00
59,awake,2024-04-21T15:18:29+00:00
56,awake,2024-04-21T16:01:14+00:00
59,awake,2024-04-21T16:01:15+00:00
61,awake,2024-04-21T16:01:18+00:00
56,awake,2024-04-21T16:07:14+00:00
57,awake,2024-04-21T16:07:42+00:00
61,awake,2024-04-21T16:07:49+00:00
56,awake,2024-04-21T16:33:11+00:00
57,awake,2024-04-21T16:33:13+00:00
55,awake,2024-04-21T16:33:16+00:00
75,awake,2024-04-21T17:32:53+00:00
62,awake,2024-04-21T17:33:39+00:00
69,awake,2024-04-21T17:33:41+00:00
60,awake,2024-04-21T17:39:32+00:00
53,awake,2024-04-21T17:39:43+00:00
56,awake,2024-04-21T17:39:53+00:00
60,awake,2024-04-21T17:42:52+00:00
56,awake,2024-04-21T17:43:13+00:00
66,awake,2024-04-21T17:43:18+00:00
66,awake,2024-04-21T18:13:52+00:00
70,awake,2024-04-21T18:13:53+00:00
73,awake,2024-04-21T18:14:00+00:00
71,awake,2024-04-21T18:16:04+00:00
68,awake,2024-04-21T18:16:17+00:00
75,awake,2024-04-21T18:17:21+00:00
70,awake,2024-04-21T18:21:40+00:00
68,awake,2024-04-21T18:22:15+00:00
73,awake,2024-04-21T18:22:45+00:00
63,awake,2024-04-21T18:26:23+00:00
66,awake,2024-04-21T18:27:17+00:00
71,awake,2024-04-21T18:27:25+00:00
67,awake,2024-04-21T18:31:52+00:00
71,awake,2024-04-21T18:32:17+00:00
65,awake,2024-04-21T18:32:40+00:00
76,awake,2024-04-21T18:58:43+00:00
74,awake,2024-04-21T18:58:49+00:00
52,awake,2024-04-21T19:10:33+00:00
56,awake,2024-04-21T19:10:34+00:00
51,awake,2024-04-21T19:10:36+00:00
61,awake,2024-04-21T19:13:20+00:00
51,awake,2024-04-21T19:13:23+00:00
56,awake,2024-04-21T19:13:46+00:00
53,awake,2024-04-21T19:15:24+00:00
50,awake,2024-04-21T19:15:25+00:00
55,awake,2024-04-21T19:15:46+00:00
56,awake,2024-04-21T19:26:25+00:00
53,awake,2024-04-21T19:26:41+00:00
